date,open,high,low,close,adjclose,volume
2018-01-12,120.12,120.35,119.71,120.09,120.09,5559600.0
2018-01-11,118.8,119.98,118.68,119.84,119.84,5982100.0
2018-01-10,118.69,119.05,117.46,118.98,118.98,7490300.0
2018-01-09,119.97,119.97,118.66,119.11,119.11,6562400.0
2018-01-08,118.61,120.48,118.07,119.34,119.34,6660700.0
2018-01-05,116.99,119.0,116.42,118.86,118.86,8590500.0
2018-01-04,116.25,117.36,116.03,116.08,116.08,7805300.0
2018-01-03,114.95,115.79,114.66,115.65,115.65,6946100.0
2018-01-02,114.57,115.08,113.95,114.51,114.51,6080900.0
2017-12-29,114.75,114.89,114.02,114.02,114.02,5249000.0
2017-12-28,114.3,114.92,113.99,114.35,114.35,6937100.0
2017-12-27,112.69,114.07,112.65,114.02,114.02,7073100.0
2017-12-26,112.07,113.44,112.07,112.99,112.99,3948900.0
2017-12-22,112.39,113.11,112.25,112.69,112.69,6190100.0
2017-12-21,112.6,113.1,112.32,112.41,112.41,8866400.0
2017-12-20,112.72,113.1,111.99,112.12,112.12,6201900.0
2017-12-19,113.28,113.28,112.08,112.14,112.14,7899400.0
2017-12-18,114.69,114.75,113.25,113.55,113.55,8961800.0
2017-12-15,113.97,114.2,112.39,113.82,113.82,16388000.0
2017-12-14,113.55,114.09,112.92,112.92,112.92,9815600.0
2017-12-13,113.75,114.37,113.19,113.31,113.31,8088900.0
2017-12-12,112.37,113.73,112.0,113.46,113.46,8754400.0
2017-12-11,112.5,113.35,112.16,112.37,112.37,7538600.0
2017-12-08,112.13,112.61,111.82,112.6,112.6,7594900.0
2017-12-07,109.77,111.41,109.45,111.4,111.4,7384900.0
2017-12-06,108.49,110.17,108.26,109.74,109.74,7532100.0
2017-12-05,108.89,109.24,106.6,108.58,108.58,12081500.0
2017-12-04,111.33,111.45,106.97,107.43,107.43,18909100.0
2017-12-01,112.38,112.44,109.76,110.73,110.73,13101800.0
2017-11-30,110.5,112.59,110.03,112.59,112.59,18533300.0
2017-11-29,113.62,113.62,106.9,109.86,109.86,14505400.0
