date,open,high,low,close,adjclose,volume
2018-01-12,90.05,90.34,89.35,89.61,89.61,8021600.0
2018-01-11,90.4,90.52,89.92,90.15,90.15,5469700.0
2018-01-10,90.91,90.91,90.01,90.47,90.47,6564700.0
2018-01-09,91.47,91.65,91.01,91.05,91.05,6630100.0
2018-01-08,90.93,91.77,90.93,91.72,91.72,4860700.0
2018-01-05,91.27,91.3,90.57,91.24,91.24,5949700.0
2018-01-04,90.83,91.77,90.61,91.18,91.18,6322500.0
2018-01-03,90.73,91.09,90.52,90.54,90.54,5863600.0
2018-01-02,91.92,91.93,90.55,90.65,90.65,7558900.0
2017-12-29,92.24,92.46,91.88,91.88,91.88,4346700.0
2017-12-28,92.3,92.54,91.91,92.07,92.07,3005400.0
2017-12-27,92.49,92.75,91.93,92.1,92.1,4276700.0
2017-12-26,92.35,92.77,92.15,92.48,92.48,3431900.0
2017-12-22,91.88,92.43,91.72,92.13,92.13,4919400.0
2017-12-21,91.66,92.08,91.53,91.67,91.67,4860400.0
2017-12-20,91.8,91.97,91.35,91.53,91.53,6938500.0
2017-12-19,92.0,92.13,91.58,91.68,91.68,5644400.0
2017-12-18,91.98,93.14,91.81,91.88,91.88,7405700.0
2017-12-15,91.57,92.27,91.48,91.89,91.89,15924000.0
2017-12-14,90.94,91.43,90.9,91.0,91.0,5853500.0
2017-12-13,90.02,91.41,89.97,90.88,90.88,7141000.0
2017-12-12,90.45,90.51,89.82,89.85,89.85,6558900.0
2017-12-11,90.23,90.33,89.75,90.23,90.23,4856000.0
2017-12-08,90.02,90.37,89.58,90.37,90.37,5883400.0
2017-12-07,91.05,91.07,89.89,90.1,90.1,7273600.0
2017-12-06,91.39,91.78,91.07,91.25,91.25,6737400.0
2017-12-05,91.52,91.84,91.07,91.4,91.4,8683000.0
2017-12-04,91.76,91.91,89.83,91.41,91.41,9003700.0
2017-12-01,90.18,90.53,89.12,90.36,90.36,7953200.0
2017-11-30,89.35,90.37,89.21,89.99,89.99,9789900.0
2017-11-29,89.4,89.81,89.03,89.38,89.38,5158900.0
2017-11-28,89.48,89.52,88.91,89.4,89.4,4841300.0
2017-11-27,88.33,89.1,88.15,88.96,88.96,6199700.0
2017-11-24,88.59,88.96,88.42,88.45,88.45,2196700.0
2017-11-22,88.5,88.91,88.06,88.33,88.33,6006900.0
2017-11-21,88.18,89.21,88.02,88.72,88.72,6196400.0
2017-11-20,88.43,88.56,87.71,88.27,88.27,4926200.0
2017-11-17,88.95,89.09,88.08,88.43,88.43,5941800.0
2017-11-16,89.84,89.9,88.77,89.25,89.25,7205100.0
2017-11-15,88.73,88.94,88.0,88.23,88.23,6688100.0
2017-11-14,88.74,89.05,88.47,88.87,88.87,5035500.0
